perusahaan;instansi;hps;hasil_lelang;limit;pagu;score11
PT. KARYA NUGRAHA KONSULTAMA;-;334604935.54;224290000.0;314614980.0;358740000;0
CV.AXL DEYAN;BALAI TEKNOLOGI INFRASTRUKTUR PELABUHAN DAN DINAMIKA PANTAI (BTIPDP);400360000.0;387750000.0;410137820.0;467660000;0
CV. BATOR ACEH CONSULTANT;DINAS PEKERJAAN UMUM DAN PERUMAHAN RAKYAT;176660000.0;175780000.0;155346518.0;177134000;0.93785422289735
CV. LAE SAGA GROUP;DITJEN PKTRANS - DINAS TENAGA KERJA DAN TRANSMIGRASI KOTA SUBULUSSALAM;279312000.0;263947000.0;249945000.0;285000000;0.39942946797889034
CV.RATU;-;0.0;110000000.0;4374914500.0;4988500000;0
CV.TABINA PUSAKA;RUMAH SAKIT UMUM DAERAH;1962120000.0;1941450000.0;1721077420.0;1962460000;0.9129597504509231
CV. AQFA KARIM;RUMAH SAKIT UMUM DAERAH;678700000.0;664698000.0;595483000.0;679000000;0.8287534274459092
CV. VISCO CONTRACTOR;MAN Padang Japang Kab. Limapuluh Kota;176513000.0;172229000.0;175400000.0;200000000;0
CV. RIZKY SEPADAN;RUMAH SAKIT UMUM DAERAH;905250000.0;895119000.0;794474300.0;905900000;0.9032449425940335
CV.AIRRO JAYA;DINAS PEMUDA DAN OLAHRAGA;364334000.0;350657000.0;324928500.0;370500000;0.5645743501969432
CV.CICUBA CONSULTANT;DINAS PEKERJAAN UMUM DAN PERUMAHAN RAKYAT;199760000.0;197725000.0;175224600.0;199800000;0.9155659724765416
CV. Karya Sejahtera;Madrasah  Tsanawiyah  Negeri  Bangsalsari;259834000.0;187150000.0;266608000.0;304000000;0
PT SEMANGAT ENAM SAUDARA;-;381700000.0;226050000.0;334750900.0;381700000;0
Mekar Setia Langgeng;-;400000000.0;202400000.0;350800000.0;400000000;0
CV. MULTI TEKNIK PRIMA KONSULTANT;DINAS PEKERJAAN UMUM DAN PERUMAHAN RAKYAT;199210000.0;192621000.0;175400000.0;200000000;0.700040650406504
BATEE MANDIRI;DINAS PERTANIAN PERKEBUNAN DAN PERIKANAN;1000000000.0;998000000.0;877000000.0;1000000000;0.983739837398374
CV. SAMUDERA;RUMAH SAKIT UMUM DAERAH;1100140000.0;1031653000.0;964825014.596;1100142548;0.4938605051607051
CV.KRISHNA JAYA SENTOSA;DINAS PEKERJAAN UMUM DAN PENATAAN RUANG;518115400.0;314743000.0;454387205.8;518115400;0
CV. FISABILILLAH;-;0.0;121700000.0;120587500.0;137500000;0.06577974870657799
CV. Raniatama Consultant;Dinas Pekerjaan Umum;177318000.0;158378000.0;158982560.0;181280000;0
PT. CITRA MURNI SEMESTA;Sekolah Tinggi Agama Kristen Negeri (STAKN) Manado;273000000.0;234135000.0;7338736000.0;8368000000;0
CV PRADHANA JAYA UTAMA;-;0.0;105650000.0;438500000.0;500000000;0
CV. SULAWESI MEMBANGUN;-;0.0;1160000000.0;306950000.0;350000000;19.81533101045296
-;-;464988566.68;372003465.06;452732833.0;516229000;0
-;-;266462350.0;236417500.0;263100000.0;300000000;0
-;-;1332540000.0;1330065000.0;1217276000.0;1388000000;0.6606511093929384
CV. FAJAR RAYA;Sekretariat DPRD Kota Bontang;382000000.0;360360000.0;789300000.0;900000000;0
CV. Kusuma Abadi;BADAN PENANGGULANGAN BENCANA DAERAH;60200000.0;59840000.0;52795400.0;60200000;0.9513815736164006
PT. RIOINDO JAYA;IAIN IMAM BONJOL PADANG;9650000000.0;9456450000.0;8463050000.0;9650000000;0.8369350014743671
Dua Samudera;DINAS PEKERJAAN UMUM DAN PENATAAN RUANG;292500000.0;282770000.0;256522500.0;292500000;0.7295531929678272
-;-;1110900000.0;1110900000.0;983925594.0;1121922000;0.9201283546471493
-;-;1200000000.0;1170235000.0;1052400000.0;1200000000;0.798340108401084
-;-;600000000.0;584400000.0;526200000.0;600000000;0.7886178861788617
-;-;400000000.0;384000000.0;370971000.0;423000000;0.2504180360952546
-;DIREKTORAT PEMBINAAN SMK;4249850000.0;4190000000.0;3727250000.0;4250000000;0.8852223816355811
-;-;484750000.0;474320000.0;425125750.0;484750000;0.8250711748994746
-;-;694980000.0;669000000.0;724392703.8;825989400;0
-;-;656083900.0;619500000.0;575385580.3;656083900;0.5466584665454939
-;Divisi Umum;1181400000.0;1108290000.0;1052400000.0;1200000000;0.37865853658536586
-;-;975706600.0;887409600.0;5262000000.0;6000000000;0
-;-;253530124.8;243134016.0;467375049.6;532924800;0
"CV. BLI&#039;S KONSTRUKSI";MAN Kasipute;151860000.0;140164000.0;145582000.0;166000000;0
-;-;364571252.13;363962281.69;320105000.0;365000000;0.9768856596502951
-;-;298350000.0;289179000.0;263100000.0;300000000;0.7067479674796748
-;POLITEKNIK NEGERI MALANG;833371000.0;594899000.0;736680000.0;840000000;0
-;Universitas Indonesia;383399137.0;371558124.58;613900000.0;700000000;0
-;Universitas Diponegoro;463320080.0;416944000.0;435518200.0;496600000;0
-;-;263300000.0;261816000.0;230914100.0;263300000;0.9541775896300551
-;-;591030000.0;574015000.0;543740000.0;620000000;0.3969971151324416
-;-;80115103000.0;72113690000.0;73072554601.375;83321042875;0
-;-;458465700.0;444620000.0;410699100.0;468300000;0.5888953123996327
-;-;19998213400.0;19996367000.0;17540000000.0;20000000000;0.9985231707317073
-;-;9584777125.0;9582919249.98;8407478895.0;9586635000;0.9968488056803976
CV. KARYA MUDA;-;4050896088.27;228382000.0;3552636669.0;4050897000;0
-;-;1265000000.0;1225000000.0;1359350000.0;1550000000;0
-;-;134500000.0;131400000.0;118395000.0;135000000;0.7831978319783197
-;Universitas Diponegoro;1157236394.0;1141881000.0;1014913857.538;1157256394;0.8919831388272006
cv.alifindo perkasa;MTsN Ujung Gading Kab. Pasaman Barat;167600000.0;132547000.0;149090000.0;170000000;0
-;-;3565873833.4;3518822745.08;3128977263.0;3567819000;0.8883509684950498
-;-;2015000000.0;1900000000.0;1769179993.0;2017309000;0.5272257709071475
-;Universitas Indonesia;1704073734.55;1483223500.0;1588318738.6;1811081800;0
DWIJA KARYA;-;0.0;303567000.0;1052400000.0;1200000000;0
CV. FISABILILLAH;-;0.0;120711000.0;181933737.7;207450100;0
-;-;2953750523.64;2894867010.12;2592146269.0;2955697000;0.8326781252435438
-;-;659340000.0;572000000.0;578241180.0;659340000;0
-;-;1199861000.0;1127449000.0;1052400000.0;1200000000;0.5084620596205962
-;-;3999828000.0;2927039000.0;3508000000.0;4000000000;0
-;-;3139273500.0;3064215000.0;3069496492.0;3499996000;0
-;-;346184220.91;342584010.78;304319000.0;347000000;0.8965350104261843
-;-;738662500.0;715457600.0;647807012.5;738662500;0.7445955039314494
-;-;1049990657.92;999983589.0;921990100.0;1051300000;0.6031517231085941
CV. GARDEN BUANA;Kantor Kementerian Agama Kabupaten Muara Enim;288850000.0;285500000.0;305196000.0;348000000;0
CV. PENDOWO KARYA SEJAHTERA;Madrasah Ibtidaiyah Negeri 7 Cengkareng;390396000.0;338642000.0;438500000.0;500000000;0
-;-;484379000.0;469469000.0;431512941.0;492033000;0.627164937165709
-;-;538783500.91;484000000.0;477712967.74;544712620;0.09383678941500218
-;-;1800000000.0;1781000000.0;1578600000.0;1800000000;0.9141824751580849
-;-;2211480700.0;1857244400.0;5262000000.0;6000000000;0
CV. ASTHAGHINA;Madrasah Aliyah Negeri 1 Gresik;128420000.0;126940000.0;112738350.0;128550000;0.8981763446572621
-;Universitas Indonesia;1234829101.73;1134949666.43;1202245653.895;1370861635;0
-;-;539574085.27;533557298.23;475334000.0;542000000;0.8733582070320706
-;-;845000000.0;819650000.0;741065000.0;845000000;0.7560975609756098
CV. DUTA PRATAMA;-;999150482.34;171127000.0;877000000.0;1000000000;0
-;-;672000000.0;655200000.0;589344000.0;672000000;0.7967479674796748
-;-;500000000.0;487199000.0;438500000.0;500000000;0.7918536585365854
-;-;1295000000.0;1294070000.0;1140100000.0;1300000000;0.9629143214509068
-;-;297427000.0;270000000.0;260965382.0;297566000;0.24684331832866868
CV PERMATA;-;3455457500.0;113132000.0;3035902130.0;3461690000;0
-;-;359556000.0;346896000.0;319812082.0;364666000;0.6038250214841878
-;-;550000000.0;537131000.0;482350000.0;550000000;0.8097708795269771
-;Divisi Umum;3688050000.0;3318887506.0;3244900000.0;3700000000;0.16257417270929464
-;-;946875000.0;918473000.0;830409375.0;946875000;0.7561340524296332
-;-;1315000000.0;1225000000.0;1297960000.0;1480000000;0
-;-;999999000.0;945686500.0;877000000.0;1000000000;0.5584268292682927
-;-;4000000000.0;3912197000.0;3508000000.0;4000000000;0.8215386178861789
CV. TORELENGGI;-;920106000.0;124600000.0;903866895.0;1030635000;0
cv linggar jati;-;0.0;253431000.0;306950000.0;350000000;0
-;Universitas Indonesia;1290831061.94;1260935500.0;1140100000.0;1300000000;0.7556941838649156
-;Universitas Diponegoro;3110000000.0;2984611000.0;2727470000.0;3110000000;0.67221132983034
-;SNVT PELAKSANAAN JARINGAN PEMANFAATAN AIR  PAPUA PROVINSI PAPUA;7130245000.0;6685349000.0;6253224865.0;7130245000;0.4927186021789568
-;-;999150482.34;999100000.0;877000000.0;1000000000;0.9926829268292683
-;Universitas Diponegoro;2883000000.0;2638772733.0;2528391000.0;2883000000;0.31127730260653286
CV. SINAR BUMI ABADI;-;299997660.47;263700000.0;263100000.0;300000000;0.016260162601625994
-;-;34900000000.0;34722366000.0;30685791500.0;34989500000;0.9379293462835598
-;-;3200000000.0;3188900000.0;2806400000.0;3200000000;0.9717987804878049
-;-;1800000000.0;1762240000.0;1578600000.0;1800000000;0.8294489611562782
CV.YULIA PERKASA;-;41250000.0;510718000.0;245130270.0;279510000;7.7251255318177305
-;-;198312000000.0;179028000000.0;175242140000.0;199820000000;0.15403537980930804
-;BADAN  KEUANGAN DAERAH;689144800.0;415832003.4;631155060.069;719675097;0
-;LPMP JAWA TENGAH;1100000000.0;929569000.0;964700000.0;1100000000;0
-;-;1700000000.0;1683525000.0;1490900000.0;1700000000;0.9212099473935915
-;-;567072000.0;544389120.0;526200000.0;600000000;0.24646504065040653
-;-;349580000.0;345863650.0;306950000.0;350000000;0.903917537746806
-;-;94728120000.0;85739179000.0;92450076463.75;105416278750;0
-;-;450000000.0;436275000.0;394650000.0;450000000;0.7520325203252033
-;Universitas Indonesia;5822442070.5;5478551100.0;5305850000.0;6050000000;0.2320783444198078
-;-;2000000000.0;1949444000.0;1754000000.0;2000000000;0.7944878048780488
-;-;626863879.4;71500000.0;1091992059.76;1245144880;0
-;-;858483398.74;847362889.89;756851000.0;863000000;0.8526871651169581
-;-;21000000000.0;20850000000.0;19294000000.0;22000000000;0.5750184774575018
-;Universitas Diponegoro;1308156000.0;1247313100.0;1147253468.873;1308156749;0.6218619722856089
CV. SUMBER SARI JAYA;MIN Loa Tebu;172500000.0;155200000.0;151282500.0;172500000;0.1846353246141157
-;Universitas Hasanuddin;1740692800.0;948274800.0;1534750000.0;1750000000;0
-;-;320732500.0;320309000.0;281955500.0;321500000;0.9698820316352463
CV. TUNAS HARAPAN;-;299997666.1;247775000.0;2631000000.0;3000000000;0
-;Universitas Indonesia;309760000.0;306240000.0;285884460.0;325980000;0.5076759160744562
CV.BAMULIH JAYA;-;3786750.0;168011000.0;876999936.856;999999928;0
-;Universitas Diponegoro;1318784000.0;1214770000.0;1315500000.0;1500000000;0
-;-;246252000.0;242849000.0;219579752.0;250376000;0.7555871091829108
-;-;11801088127.4;11777000180.0;13155000000.0;15000000000;0
-;POLITEKNIK NEGERI MALANG;449983000.0;367271000.0;399035000.0;455000000;0
-;-;499525400.0;497395800.0;438500000.0;500000000;0.9576552845528455
-;SNVT PELAKSANAAN JARINGAN PEMANFAATAN AIR  PAPUA PROVINSI PAPUA;300000000.0;255470000.0;263100000.0;300000000;0
-;Universitas Indonesia;513799000.0;464585000.0;482350000.0;550000000;0
-;Universitas Indonesia;9121530000.0;7431536674.1;8003866832.0;9126416000;0
-;Universitas Indonesia;443021040.0;434522000.0;388529452.08;443021040;0.8440302379795286
-;Universitas Indonesia;380339465.0;334334000.0;412190000.0;470000000;0
-;-;319541418.0;292226036.0;285025000.0;325000000;0.18013848655409626
PT. CITRA INDAH LESTARI MANDIRI;-;9447213000.0;9300000000.0;8285205801.0;9447213000;0.8733114561366844
-;-;40037697487.59;38983712496.4;35115420276.0;40040388000;0.7854451921683298
-;-;10000000000.0;9953000000.0;8770000000.0;10000000000;0.9617886178861789
-;-;6906900000.0;6780400000.0;6076654070.0;6928910000;0.8257448323064176
cv.gita fajar mandiri;Kementerian Agama Kota Kediri;276060000.0;222961200.0;281517000.0;321000000;0
-;-;1450000000.0;1433000000.0;1315500000.0;1500000000;0.6368563685636857
-;-;249999974.01;248326193.06;219250000.0;250000000;0.9455672539837399
-;-;2325000000.0;1947773400.0;2039025000.0;2325000000;0
-;-;1540361000.0;1363593000.0;1350896597.0;1540361000;0.06701207614181748
-;-;500000000.0;497500000.0;438500000.0;500000000;0.959349593495935
-;-;899600000.0;820160000.0;789300000.0;900000000;0.2787714543812104
-;-;390183750.0;387288000.0;428589900.0;488700000;0
-;-;731893000.0;689749000.0;641870467.95;731893350;0.531848469630283
-;-;1536261091.2;1386200640.0;1363958635.0;1555255000;0.11626987789339327
-;-;942906255.0;928990700.0;860840398.0;981574000;0.5644683904982807
-;-;1149991840.75;1080746700.0;1008550000.0;1150000000;0.5104043831742665
-;-;3000000000.0;2921000000.0;2631000000.0;3000000000;0.7859078590785908
-;-;320100000.0;319000000.0;285025000.0;325000000;0.849906191369606
-;-;474815000.0;384012750.0;419534875.0;478375000;0
-;-;1875649356.41;1431437034.58;1644945050.0;1875650000;0
-;-;529283000.0;505391084.0;464810000.0;530000000;0.6225047399907961
-;-;899000000.0;898800000.0;1578600000.0;1800000000;0
-;-;1955331000.0;1903525000.0;1754000000.0;2000000000;0.6078252032520326
-;-;9496000000.0;9449000000.0;8331500000.0;9500000000;0.9563543003851092
-;-;395087090.95;382376837.78;348169000.0;397000000;0.700535270217689
-;-;403722900.0;394995200.0;354664939.0;404407000;0.8107878963841084
-;-;107378459726.75;100210636833.32;94485010302.6;107736613800;0.43207046844130126
-;-;461662500.0;456450000.0;405437100.0;462300000;0.8971209699118405
CV. FOURER BANGUN PERSADA;Direktorat Jenderal Penyelenggaraan Haji dan Umrah;1678600000.0;1593884600.0;1480376000.0;1688000000;0.5467026933302508
-;-;311139400.0;299000000.0;372836379.0;425127000;0
-;-;868130951.85;862443558.35;762363822.0;869286000;0.9360054033878736
-;-;1081500000.0;1065300000.0;948475500.0;1081500000;0.8782179222624403
-;-;388297000.0;364000000.0;379083250.0;432250000;0
-;-;854326000.0;821216000.0;753343000.0;859000000;0.6423899978231447
-;-;1499982517.78;1476310889.47;1315500000.0;1500000000;0.8716037369647698
-;-;800000000.0;788223000.0;701600000.0;800000000;0.8803150406504066
-;-;647521875.0;646503000.0;568901130.0;648690000;0.9725901620113181
-;-;1050000000.0;1039500000.0;920850000.0;1050000000;0.9186991869918699
-;-;499994000.0;489731000.0;438500000.0;500000000;0.8330243902439024
-;-;644713575.0;624712999.9;570050000.0;650000000;0.6837148205128203
-;-;850000000.0;840870000.0;745450000.0;850000000;0.912673362027738
-;Dinas Pekerjaan Umum Bina Marga dan Pematusan;2585090750.0;1601632312.5;2628880074.381;2997582753;0
-;-;539985600.0;538560000.0;473580000.0;540000000;0.978319783197832
-;PELAKSANAAN JALAN NASIONAL METROPOLITAN MAKASAR;49969455000.0;44455259000.0;43823212035.0;49969455000;0.1028346859372814
-;-;514920000.0;499545000.0;451655000.0;515000000;0.7560186281474466
-;-;2336400000.0;2260170000.0;2060950000.0;2350000000;0.6892233177650926
-;-;71312000000.0;67500000000.0;64271342281.0;73285453000;0.3581781741591674
-;-;2067700000.0;2048400000.0;1813372900.0;2067700000;0.9241134743407211
-;-;1941378269.0;1902707600.0;1702958600.0;1941800000;0.8363248582532175
-;-;469967000.0;466949000.0;413896115.8;471945400;0.9139283099032598
-;PUSAT TEKNOLOGI ROKET;1628660000.0;1547878464.0;1432979412.0;1633956000;0.5717036653045379
-;DINAS KESEHATAN ;2560809280.0;2524288582.0;2245838175.3;2560818900;0.8840236397487722
-;DINAS PEKERJAAN UMUM DAN PENATAAN RUANG ;1386500000.0;1346200000.0;1227800000.0;1400000000;0.6875725900116144
-;-;227325000.0;224175000.0;199364025.0;227325000;0.8873429842843463
-;-;281532000.0;264120000.0;246980312.024;281619512;0.49480611526465257
-;-;1521646500.0;1254352385.0;1662792000.0;1896000000;0
-;-;699450296.6;659258226.0;613900000.0;700000000;0.5268086643437864
-;-;1346340000.0;1307680000.0;1205226020.0;1374260000;0.6061146995414768
-;SNVT PENYEDIAAN PERUMAHAN PROVINSI PAPUA BARAT;855837000.0;779341000.0;750569049.0;855837000;0.2733210889608747
-;-;4644080550.0;4554396000.0;4320501911.123;4926455999;0.38599308686317013
-;-;250000000.0;246500000.0;219250000.0;250000000;0.8861788617886179
-;-;646131090.0;612539180.0;572740489.541;653067833;0.49545632589373134
-;-;600000000.0;596880000.0;526200000.0;600000000;0.9577235772357724
-;-;999882000.0;995823000.0;877000000.0;1000000000;0.9660406504065041
-;-;1187462963.65;927078657.02;1041437500.0;1187500000;0
-;-;189300000.0;173000000.0;166366900.0;189700000;0.284278557071285
-;-;570328000.0;565565000.0;574761244.0;655372000;0
-;-;148739800.0;145585000.0;131550000.0;150000000;0.7607046070460705
-;-;667425000.0;528000000.0;908713635.5;1036161500;0
-;-;383500000.0;379079000.0;336329500.0;383500000;0.9062761683679418
-;DINAS PERTANIAN DAN PANGAN;606625000.0;582650000.0;616531000.0;703000000;0
-;-;442840365.0;192500000.0;585836000.0;668000000;0
-;-;996301000.0;992233000.0;877000000.0;1000000000;0.9368536585365854
-;-;234990746.46;229260937.8;215742000.0;246000000;0.44678887566924486
-;-;2099953770.0;2085083000.0;1864765100.0;2126300000;0.8424034421409915
-;-;199991000.0;191070000.0;175400000.0;200000000;0.6369918699186992
-;-;337916700.0;217134500.0;300660717.28;342828640;0
-;-;2824800000.0;2694000000.0;2587150000.0;2950000000;0.2944743006752102
-;-;498300000.0;484500280.0;437096800.0;498400000;0.7732627334299025
-;-;247412000.0;243112000.0;219250000.0;250000000;0.776
-;-;300000000.0;295888000.0;263100000.0;300000000;0.8885636856368564
-;-;297411950.0;222200000.0;263100000.0;300000000;0
-;-;1015000000.0;1010485300.0;890155000.0;1015000000;0.9638375585726301
-;-;248530500.0;232032000.0;217961248.5;248530500;0.46029100516249144
-;-;3750000000.0;3254280652.3;3288750000.0;3750000000;0
-;-;2317500000.0;2291750000.0;2032447500.0;2317500000;0.9096657633242999
-;-;553916000.0;548885480.0;485858000.0;554000000;0.9249432068327903
-;DINAS PEKERJAAN UMUM DAN PENATAAN RUANG ;258500000.0;249134000.0;228020000.0;260000000;0.6602251407129456
-;-;317130000.0;316525000.0;278798300.0;317900000;0.9648352884912932
-;-;999797040.0;978831040.0;877000000.0;1000000000;0.8278946341463415
-;-;1954733673.46;1935060356.91;1714535000.0;1955000000;0.9170788135903357
-;-;3935529400.0;3547451000.0;3525814939.5;4020313500;0.043753535860899695
-;DINAS PEKERJAAN UMUM DAN PENATAAN RUANG ;845420000.0;804700000.0;745450000.0;850000000;0.5667144906743184
-;-;355192108.91;285567113.81;311517416.0;355208000;0
-;DINAS PEKERJAAN UMUM DAN PENATAAN RUANG ;1982500000.0;1899438000.0;1754000000.0;2000000000;0.5912113821138212
-;-;4870229592.47;4704837035.88;4299580200.0;4902600000;0.6720456540233009
-;-;297942000.0;248040000.0;263100000.0;300000000;0
-;-;246250000.0;211750000.0;219250000.0;250000000;0
-;-;3539000000.0;3318849600.0;3108758028.0;3544764000;0.48185480358512156
-;-;1781297000.0;1758769000.0;1562197469.0;1781297000;0.897179150054867
-;-;1095000000.0;1085460000.0;960315000.0;1095000000;0.9291680588038758
-;-;178112000.0;167640000.0;156204224.0;178112000;0.5219962081043735
-;DINAS PEKERJAAN UMUM DAN TATA RUANG;399905000.0;392207000.0;350800000.0;400000000;0.8416056910569105
-;-;1278880000.0;1190701000.0;1122856426.0;1280338000;0.43080960062032403
CV. CEUDAH CONSULTANT;-;149490000.0;145002000.0;131550000.0;150000000;0.7291056910569106
-;-;750000000.0;746270000.0;657750000.0;750000000;0.9595663956639566
-;-;652371894.56;612575026.83;572131998.0;652374000;0.5040132078210118
-;-;650377741.27;611888365.0;659942500.0;752500000;0
-;-;976500000.0;859100000.0;877000000.0;1000000000;0
-;-;374400000.0;369120000.0;350800000.0;400000000;0.37235772357723573
-;-;449480000.0;447474000.0;394650000.0;450000000;0.9543631436314364
-;-;484094000.0;480600000.0;426713120.0;486560000;0.9004125194162168
BAKTI KENCANA;-;1555200000.0;341000000.0;1373469700.0;1566100000;0
-;-;2570529642.0;2506781900.0;2256697277.0;2573201000;0.7901474921986936
-;-;401007200.0;392821000.0;353851960.0;403480000;0.7852222251775407
-;-;675513300.0;650000000.0;592425164.1;675513300;0.6929369070127375
-;-;400000000.0;391820000.0;350800000.0;400000000;0.833739837398374
-;-;291835500.0;287672000.0;300811000.0;343000000;0
-;-;11576911500.0;10350000000.0;11242263000.0;12819000000;0
-;-;2877187500.0;2695000000.0;2652925000.0;3025000000;0.11308203991130816
-;-;1260000000.0;1012000000.0;1285140891.0;1465383000;0
-;-;309725000.0;305600000.0;306950000.0;350000000;0
-;-;436559860.0;361900000.0;964700000.0;1100000000;0
-;-;323102375.0;303987909.0;286324792.053;326482089;0.43984825398761207
-;-;1025500000.0;1015000000.0;920850000.0;1050000000;0.7289972899728998
-;-;319200000.0;277200000.0;290926333.0;331729000;0
-;-;369655000.0;369105000.0;324187435.0;369655000;0.9879034648105743
-;-;386690500.0;377342380.0;339127568.5;386690500;0.8034578671838173
-;-;1385052558.32;1000736880.0;1278622150.0;1457950000;0
-;-;2856496500.0;2850865875.0;2821747500.0;3217500000;0.07357723577235775
-;DINAS PEKERJAAN UMUM DAN PENATAAN RUANG ;1489000000.0;1429700000.0;1315500000.0;1500000000;0.6189701897018971
-;-;1017726000.0;1002793000.0;892786000.0;1018000000;0.878551919114476
-;-;593336700.0;586089000.0;526200000.0;600000000;0.8115040650406504
-;-;148739800.0;143734800.0;131550000.0;150000000;0.6604227642276423
-;-;247940000.0;236600000.0;221004000.0;252000000;0.5031616982836495
-;-;653443220.0;630840000.0;573102845.77;653481010;0.7183188964702734
-;-;360000000.0;359150000.0;315720000.0;360000000;0.9808039747064138
-;-;599848000.0;565059000.0;526200000.0;600000000;0.5265447154471545
-;-;199705000.0;199650000.0;175400000.0;200000000;0.9857723577235772
-;UNIVERSITAS NEGERI SEMARANG;1349064000.0;1330632600.0;1315500000.0;1500000000;0.08201951219512194
-;-;501428620.0;405331300.0;439815500.0;501500000;0
-;-;962192000.0;952160000.0;871738000.0;994000000;0.6577841029919353
-;-;299400000.0;297200000.0;263100000.0;300000000;0.924119241192412
-;-;1058204366.0;855613040.0;1131330000.0;1290000000;0
-;-;10359319611.72;10138877074.44;9224378085.0;10518105000;0.7068717353229066
-;-;419128182.0;409892095.8;372004141.08;424178040;0.7261859953785492
-;-;1869800000.0;1855000000.0;1639814600.0;1869800000;0.9356480889656473
-;-;448437000.0;426635000.0;447270000.0;510000000;0
-;-;500836957.18;494387992.15;602776132.0;687316000;0
-;-;720908925.0;719779000.0;632755500.0;721500000;0.9806072488999318
-;-;7670994379.47;7575393251.87;6727467000.0;7671000000;0.8986715375826811
-;-;1153750000.0;1121120000.0;1026090000.0;1170000000;0.6603432700993677
-;-;3001600000.0;2957570000.0;2632403200.0;3001600000;0.8807411115155928
-;-;1560834534.6;994653000.0;1504877185.746;1715937498;0
-;-;957600000.0;948948000.0;839815200.0;957600000;0.9265440022821281
-;-;89798445.0;79047752.3;84139380.0;95940000;0
-;-;399841200.0;396127600.0;350800000.0;400000000;0.9212926829268293
-;-;400000000.0;396000000.0;350800000.0;400000000;0.9186991869918699
CV. DUTA VISTA;-;2000000000.0;1992800000.0;1754000000.0;2000000000;0.9707317073170731
-;-;593747730.39;480912640.2;527866265.797;601899961;0
-;-;3999930000.0;3837900000.0;3508000000.0;4000000000;0.6705284552845528
-;-;2083000000.0;2020000000.0;1828545000.0;2085000000;0.7465442280322083
-;DINAS PERUMAHAN DAN KAWASAN PERMUKIMAN DAN LINGKUNGAN HIDUP;940000000.0;895000000.0;824380000.0;940000000;0.6107939802802284
-;-;1066250000.0;1065900000.0;2071517850.0;2362050000;0
-;-;1459770700.0;1380744000.0;1307295226.5;1490644500;0.400594843371441
-;-;4580073000.0;4580000000.0;4275375000.0;4875000000;0.5080258494892641
-;DINAS PEKERJAAN UMUM DAN PENATAAN RUANG;1724682000.0;1705893000.0;1522472000.0;1736000000;0.859002098085497
-;DINAS PERTANIAN PERKEBUNAN DAN PETERNAKAN;549987900.0;549978000.0;482350000.0;550000000;0.9996747967479674
-;-;1191415000.0;1184200000.0;1052400000.0;1200000000;0.8929539295392954
-;-;3712094000.0;3711204200.0;3255506438.0;3712094000;0.9980511952710617
-;-;1805774850.0;1763129500.0;1591755000.0;1815000000;0.7676521310667652
-;Universitas Diponegoro;2962400000.0;2946598000.0;2598053914.646;2962433198;0.9565419914813986
-;-;668489800.0;545468000.0;769341130.514;877241882;0
-;-;121217800.0;115335000.0;109625000.0;125000000;0.37138211382113817
-;-;247999400.0;242880000.0;217496000.0;248000000;0.8321531602412798
-;-;1099952595.87;1078438191.23;964700000.0;1100000000;0.840637037915743
-;-;1000000000.0;986870000.0;877000000.0;1000000000;0.8932520325203253
CV. BANGUN CIPTA LESTARI;-;2106745336.5;2001352379.23;2041862972.0;2328236000;0
-;-;1527750000.0;1520718276.0;1339836750.0;1527750000;0.9625799457994579
-;-;209860000.0;202000000.0;184170000.0;210000000;0.6902826171118854
